firm_id,logA,A,xi,comp,x,y,eps_L_behavioral,eps_S_behavioral
1,0.3777975456843765,1.4590675184559339,-0.132448188068996,3,-4.696305323542408,5.511582836873834,2.6657581437916598,-0.6037745399411556
2,0.25804057118884505,1.2943913325541467,0.20777323402154088,1,1.4160559089697484,0.42034581846355573,3.6214820742125333,3.5064970174222783
3,-0.25687175359577097,0.7734674018181291,-0.30609330954402414,2,4.617932387109494,5.57136121370713,4.12907990549315,-2.0557746857489785
4,-0.9120072122592932,0.4017170827993744,-0.12500611087270191,1,-5.862111021667258,0.7793545688182643,2.6187234854825157,6.5725612400359
5,0.2101813700375421,1.2339018324849949,0.0594877629450336,1,-1.3710589300216407,1.195651354431916,4.577064865795997,4.50640449496704
6,0.25897364707646964,1.2955996615393561,-0.023945464929367735,3,-9.794447563898645,4.029149680128466,3.129566675570469,-1.0513856270842115
7,-0.1821451060245882,0.8334803886147659,-0.09447707824804157,1,-1.9680829760461915,-1.0204968002386388,1.9017329540022199,1.8085858143260998
8,0.3603205476291348,1.433788938551675,0.0021920770185379955,1,-0.2073375008562416,-0.08586764005416327,2.737066032907087,4.6502133875993925
9,-0.30330025063856453,0.7383773648093414,0.14531935798392223,3,-9.21652958544238,6.849897418431447,2.4877203346656196,2.999089713019684
10,-0.4978490973954543,0.6078366521160756,-0.45373224450473976,3,-8.097213456154705,5.359104016630227,3.022037673204752,0.7721531107579973
